Lower case	Upper case	Translit	spell	Notes
𝕚	𝕚			mathematical double-struck small i
𝕛	𝕛			mathematical double-struck small j
𝕜	𝕜			mathematical double-struck small k
𝕝	𝕝			mathematical double-struck small l
𝕞	𝕞			mathematical double-struck small m
𝕟	𝕟			mathematical double-struck small n
𝕠	𝕠			mathematical double-struck small o
𝕡	𝕡			mathematical double-struck small p
𝕢	𝕢			mathematical double-struck small q
𝕣	𝕣			mathematical double-struck small r
𝕤	𝕤			mathematical double-struck small s
𝕥	𝕥			mathematical double-struck small t
𝕦	𝕦			mathematical double-struck small u
𝕧	𝕧			mathematical double-struck small v
𝕨	𝕨			mathematical double-struck small w
𝕩	𝕩			mathematical double-struck small x
𝕪	𝕪			mathematical double-struck small y
𝕫	𝕫			mathematical double-struck small z
𝖆	𝖆			mathematical bold fraktur small a
𝖇	𝖇			mathematical bold fraktur small b
𝖈	𝖈			mathematical bold fraktur small c
𝖉	𝖉			mathematical bold fraktur small d
𝖊	𝖊			mathematical bold fraktur small e
𝖋	𝖋			mathematical bold fraktur small f
𝖌	𝖌			mathematical bold fraktur small g
𝖍	𝖍			mathematical bold fraktur small h
𝖎	𝖎			mathematical bold fraktur small i
𝖏	𝖏			mathematical bold fraktur small j
𝖐	𝖐			mathematical bold fraktur small k
𝖑	𝖑			mathematical bold fraktur small l
𝖒	𝖒			mathematical bold fraktur small m
𝖓	𝖓			mathematical bold fraktur small n
𝖔	𝖔			mathematical bold fraktur small o
𝖕	𝖕			mathematical bold fraktur small p
𝖖	𝖖			mathematical bold fraktur small q
𝖗	𝖗			mathematical bold fraktur small r
𝖘	𝖘			mathematical bold fraktur small s
𝖙	𝖙			mathematical bold fraktur small t
𝖚	𝖚			mathematical bold fraktur small u
𝖛	𝖛			mathematical bold fraktur small v
𝖜	𝖜			mathematical bold fraktur small w
𝖝	𝖝			mathematical bold fraktur small x
𝖞	𝖞			mathematical bold fraktur small y
𝖟	𝖟			mathematical bold fraktur small z
𝖺	𝖺			mathematical sans-serif small a
𝖻	𝖻			mathematical sans-serif small b
𝖼	𝖼			mathematical sans-serif small c
𝖽	𝖽			mathematical sans-serif small d
𝖾	𝖾			mathematical sans-serif small e
𝖿	𝖿			mathematical sans-serif small f
𝗀	𝗀			mathematical sans-serif small g
𝗁	𝗁			mathematical sans-serif small h
𝗂	𝗂			mathematical sans-serif small i
𝗃	𝗃			mathematical sans-serif small j
𝗄	𝗄			mathematical sans-serif small k
𝗅	𝗅			mathematical sans-serif small l
𝗆	𝗆			mathematical sans-serif small m
𝗇	𝗇			mathematical sans-serif small n
𝗈	𝗈			mathematical sans-serif small o
𝗉	𝗉			mathematical sans-serif small p
𝗊	𝗊			mathematical sans-serif small q
𝗋	𝗋			mathematical sans-serif small r
𝗌	𝗌			mathematical sans-serif small s
𝗍	𝗍			mathematical sans-serif small t
𝗎	𝗎			mathematical sans-serif small u
𝗏	𝗏			mathematical sans-serif small v
𝗐	𝗐			mathematical sans-serif small w
𝗑	𝗑			mathematical sans-serif small x
𝗒	𝗒			mathematical sans-serif small y
𝗓	𝗓			mathematical sans-serif small z
𝗮	𝗮			mathematical sans-serif bold small a
𝗯	𝗯			mathematical sans-serif bold small b
𝗰	𝗰			mathematical sans-serif bold small c
𝗱	𝗱			mathematical sans-serif bold small d
𝗲	𝗲			mathematical sans-serif bold small e
𝗳	𝗳			mathematical sans-serif bold small f
𝗴	𝗴			mathematical sans-serif bold small g
𝗵	𝗵			mathematical sans-serif bold small h
𝗶	𝗶			mathematical sans-serif bold small i
𝗷	𝗷			mathematical sans-serif bold small j
𝗸	𝗸			mathematical sans-serif bold small k
𝗹	𝗹			mathematical sans-serif bold small l
𝗺	𝗺			mathematical sans-serif bold small m
𝗻	𝗻			mathematical sans-serif bold small n
𝗼	𝗼			mathematical sans-serif bold small o
𝗽	𝗽			mathematical sans-serif bold small p
𝗾	𝗾			mathematical sans-serif bold small q
𝗿	𝗿			mathematical sans-serif bold small r
𝘀	𝘀			mathematical sans-serif bold small s
𝘁	𝘁			mathematical sans-serif bold small t
𝘂	𝘂			mathematical sans-serif bold small u
𝘃	𝘃			mathematical sans-serif bold small v
𝘄	𝘄			mathematical sans-serif bold small w
𝘅	𝘅			mathematical sans-serif bold small x
𝘆	𝘆			mathematical sans-serif bold small y
𝘇	𝘇			mathematical sans-serif bold small z
𝘢	𝘢			mathematical sans-serif italic small a
𝘣	𝘣			mathematical sans-serif italic small b
𝘤	𝘤			mathematical sans-serif italic small c
𝘥	𝘥			mathematical sans-serif italic small d
𝘦	𝘦			mathematical sans-serif italic small e
𝘧	𝘧			mathematical sans-serif italic small f
𝘨	𝘨			mathematical sans-serif italic small g
𝘩	𝘩			mathematical sans-serif italic small h
𝘪	𝘪			mathematical sans-serif italic small i
𝘫	𝘫			mathematical sans-serif italic small j
𝘬	𝘬			mathematical sans-serif italic small k
𝘭	𝘭			mathematical sans-serif italic small l
𝘮	𝘮			mathematical sans-serif italic small m
𝘯	𝘯			mathematical sans-serif italic small n
𝘰	𝘰			mathematical sans-serif italic small o
𝘱	𝘱			mathematical sans-serif italic small p
𝘲	𝘲			mathematical sans-serif italic small q
𝘳	𝘳			mathematical sans-serif italic small r
𝘴	𝘴			mathematical sans-serif italic small s
𝘵	𝘵			mathematical sans-serif italic small t
𝘶	𝘶			mathematical sans-serif italic small u
𝘷	𝘷			mathematical sans-serif italic small v
𝘸	𝘸			mathematical sans-serif italic small w
𝘹	𝘹			mathematical sans-serif italic small x
𝘺	𝘺			mathematical sans-serif italic small y
𝘻	𝘻			mathematical sans-serif italic small z
𝙖	𝙖			mathematical sans-serif bold italic small a
𝙗	𝙗			mathematical sans-serif bold italic small b
𝙘	𝙘			mathematical sans-serif bold italic small c
𝙙	𝙙			mathematical sans-serif bold italic small d
𝙚	𝙚			mathematical sans-serif bold italic small e
𝙛	𝙛			mathematical sans-serif bold italic small f
𝙜	𝙜			mathematical sans-serif bold italic small g
𝙝	𝙝			mathematical sans-serif bold italic small h
𝙞	𝙞			mathematical sans-serif bold italic small i
𝙟	𝙟			mathematical sans-serif bold italic small j
𝙠	𝙠			mathematical sans-serif bold italic small k
𝙡	𝙡			mathematical sans-serif bold italic small l
𝙢	𝙢			mathematical sans-serif bold italic small m
𝙣	𝙣			mathematical sans-serif bold italic small n
𝙤	𝙤			mathematical sans-serif bold italic small o
𝙥	𝙥			mathematical sans-serif bold italic small p
𝙦	𝙦			mathematical sans-serif bold italic small q
𝙧	𝙧			mathematical sans-serif bold italic small r
𝙨	𝙨			mathematical sans-serif bold italic small s
𝙩	𝙩			mathematical sans-serif bold italic small t
𝙪	𝙪			mathematical sans-serif bold italic small u
𝙫	𝙫			mathematical sans-serif bold italic small v
𝙬	𝙬			mathematical sans-serif bold italic small w
𝙭	𝙭			mathematical sans-serif bold italic small x
𝙮	𝙮			mathematical sans-serif bold italic small y
𝙯	𝙯			mathematical sans-serif bold italic small z
𝚊	𝚊			mathematical monospace small a
𝚋	𝚋			mathematical monospace small b
𝚌	𝚌			mathematical monospace small c
𝚍	𝚍			mathematical monospace small d
𝚎	𝚎			mathematical monospace small e
𝚏	𝚏			mathematical monospace small f
𝚐	𝚐			mathematical monospace small g
𝚑	𝚑			mathematical monospace small h
𝚒	𝚒			mathematical monospace small i
𝚓	𝚓			mathematical monospace small j
𝚔	𝚔			mathematical monospace small k
𝚕	𝚕			mathematical monospace small l
𝚖	𝚖			mathematical monospace small m
𝚗	𝚗			mathematical monospace small n
𝚘	𝚘			mathematical monospace small o
𝚙	𝚙			mathematical monospace small p
𝚚	𝚚			mathematical monospace small q
𝚛	𝚛			mathematical monospace small r
𝚜	𝚜			mathematical monospace small s
𝚝	𝚝			mathematical monospace small t
𝚞	𝚞			mathematical monospace small u
𝚟	𝚟			mathematical monospace small v
𝚠	𝚠			mathematical monospace small w
𝚡	𝚡			mathematical monospace small x
𝚢	𝚢			mathematical monospace small y
𝚣	𝚣			mathematical monospace small z
𝚤	𝚤			mathematical italic small dotless i
𝚥	𝚥			mathematical italic small dotless j
𝛁	𝛁			mathematical bold nabla
𝛂	𝛂			mathematical bold small alpha
𝛃	𝛃			mathematical bold small beta
𝛄	𝛄			mathematical bold small gamma
𝛅	𝛅			mathematical bold small delta
𝛆	𝛆			mathematical bold small epsilon
𝛇	𝛇			mathematical bold small zeta
𝛈	𝛈			mathematical bold small eta
𝛉	𝛉			mathematical bold small theta
𝛊	𝛊			mathematical bold small iota
𝛋	𝛋			mathematical bold small kappa
𝛌	𝛌			mathematical bold small lamda
𝛍	𝛍			mathematical bold small mu
𝛎	𝛎			mathematical bold small nu
𝛏	𝛏			mathematical bold small xi
𝛐	𝛐			mathematical bold small omicron
𝛑	𝛑			mathematical bold small pi
𝛒	𝛒			mathematical bold small rho
𝛓	𝛓			mathematical bold small final sigma
𝛔	𝛔			mathematical bold small sigma
𝛕	𝛕			mathematical bold small tau
𝛖	𝛖			mathematical bold small upsilon
𝛗	𝛗			mathematical bold small phi
𝛘	𝛘			mathematical bold small chi
𝛙	𝛙			mathematical bold small psi
𝛚	𝛚			mathematical bold small omega
𝛛	𝛛			mathematical bold partial differential
𝛜	𝛜			mathematical bold epsilon symbol
